full_tag	top_tag	sub_tag	n_stories	n_editions	top_cooccurring	examples
social:relations_with_sinners	social	relations_with_sinners	12	4	ethics-and-emotions:repentance(8); supernatural:perception(8); social:inter_hasidic_master_disciple_relationship(6); women:minor_character(6); times:death(6)	Adat-Zadikim_0008; Khal-Hasidim_0002; Khal-Hasidim_0003
kabbalah:kabbalistic_terms_kavvanot	kabbalah	kabbalistic_terms_kavvanot	11	3	practice:meditation(11); knowledge:esoteric(7); practice:prayer(6); women:minor_character(5); times:death(5)	Khal-Hasidim_0002; Khal-Hasidim_0031; Khal-Hasidim_0041
ethics-and-emotions:awe	ethics-and-emotions	awe	10	3	ethics-and-emotions:fear(9); social:inter_hasidic_master_disciple_relationship(4); practice:circumcision(3); ethics-and-emotions:prohibitions(3); practice:drinking_alcohol(2)	Khal-Hasidim_0123; Khal-Hasidim_0142; Khal-Hasidim_0213
practice:coping_with_alien_thoughts	practice	coping_with_alien_thoughts	10	3	practice:prayer(7); supernatural:perception(6); social:inter_hasidic_master_disciple_relationship(6); social:relations_with_non_hasidim(4); practice:asceticism(3)	Khal-Hasidim_0026; Khal-Hasidim_0080; Khal-Hasidim_0118
practice:halakhah	practice	halakhah	10	4	ethics-and-emotions:prohibitions(8); supernatural:perception(7); social:marriage(3); spaces:heaven(3); ethics-and-emotions:joy(3)	Khal-Hasidim_0018; Khal-Hasidim_0085; Khal-Hasidim_0099
practice:sexual_abstinence	practice	sexual_abstinence	10	2	social:marital_relationship(10); women:mention_only(8); supernatural:perception(6); ethics-and-emotions:prohibitions(4); social:inter_hasidic_master_disciple_relationship(4)	Khal-Hasidim_0072; Khal-Hasidim_0105; Khal-Hasidim_0127
practice:business_advice	practice	business_advice	9	4	social:relations_with_non_jews(7); supernatural:prognostication(7); ethics-and-emotions:punishment(5); social:disobedience(5); social:relations_with_non_hasidim(4)	Khal-Hasidim_0102; Khal-Hasidim_0187; Khal-Hasidim_0217
practice:the_travels_of_the_tsaddik	practice	the_travels_of_the_tsaddik	9	3	supernatural:perception(4); social:inter_hasidic_master_disciple_relationship(4); supernatural:prognostication(3); practice:storytelling(3); ethics-and-emotions:charity(2)	Adat-Zadikim_0002; Khal-Hasidim_0030; Mifalot-HaZadikim_0001
spaces:hell	spaces	hell	9	2	supernatural:communicating_with_the_invisible(7); spaces:heaven(7); experience:dream(6); ethics-and-emotions:punishment(5); times:shabbat(5)	Khal-Hasidim_0035; Khal-Hasidim_0070; Khal-Hasidim_0082
practice:clothing	practice	clothing	8	5	social:inter_hasidic_master_disciple_relationship(7); supernatural:perception(7); practice:prayer(5); social:inter_hasidic(5); practice:study(4)	Adat-Zadikim_0012; Khal-Hasidim_0149; Khal-Hasidim_0185
practice:writing_amulets	practice	writing_amulets	8	4	supernatural:perception(5); supernatural:magic(5); women:minor_character(4); social:inter_hasidic_master_disciple_relationship(4); ethics-and-emotions:punishment(3)	Adat-Zadikim_0009; Khal-Hasidim_0010; Khal-Hasidim_0045
